Metric,Value
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,474.185
design__instance__count__class:fill_cell,2040
design__instance__area__class:fill_cell,17414.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,17
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19552
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19964
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00448223
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00149644
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000221282
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00149644
design_powergrid__voltage__worst,0.00149644
design_powergrid__voltage__worst__net:VPWR,1.19552
design_powergrid__drop__worst,0.00448223
design_powergrid__drop__worst__net:VPWR,0.00448223
design_powergrid__voltage__worst__net:VGND,0.00149644
design_powergrid__drop__worst__net:VGND,0.00149644
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00036099999999999999276967255212866803049109876155853271484375
ir__drop__worst,0.00447999999999999960753616079500716296024620532989501953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
